Start Date,End Date,IP Address,Respondent ID,"Did you use the Where to Walk feature in the app to find a local park, open space, or trail?",Why not? (Select all that apply), , .1, .2, .3,"Did you walk at a local park, open space, or trail during the Intentional Walk program?",Why not?,"Before the program, how many days a week did you walk for exercise?","On average, how many days a week during the program did friends and/or family walk with you?","During the last week of the program, how many days a week did you walk for exercise?","Now that the program is over, how many days a week do you plan to continue walking for exercise?",How often did you look at the Top Walkers feature in the app?,Why not?.1,The Top Walkers feature was easy to use,I liked being able to see my place among all walkers on the Top Walkers feature ,"Throughout the program, what were your top motivators to keep walking? (Select all that apply)", .4, .5, .6, .7, .8, .9,"Besides SF Giants tickets, what other prizes would motivate you to keep walking during the program? (e.g. grocery gift card, a pair of walking shoes, exercise equipment, etc.)",Which of the following options would make you walk more during the program? (Select all that apply), .10, .11, .12, .13, .14,How would you rate your health before starting the Intentional Walk Program on 6/1?,How would you rate your health now?,Did you experience any of these while participating in the program? (Select all that apply) , .15, .16, .17, .18,Did participating in the program lead to you making any other healthy lifestyle changes?,What healthy lifestyle changes did you make?,How did you find out about the Intentional Walk program? (select all that apply), .19, .20, .21, .22, .23,Would you participate in this program again?,Why not?.2,Is there anything you would change about the Intentional Walk app?
2023-09-02 12:07:17,2023-09-02 12:10:35,172.58.89.92,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,7,7,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,Gift cards,,Reminders/prompts to walk,,,,,Very good,Excellent,,,,Feel happier,,Yes,"Whenever I couldn’t walk, I used a treadmill instead to keep track of my steps",,,,,"A friend, family member, or colleague",,Yes,,
2023-09-02 10:14:10,2023-09-02 10:16:16,98.51.0.219,,Yes,,,,,,Yes,,3,1,5,5,Often,,Strongly agree,Strongly agree,Feeling healthier,,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,,,Gift cards,,,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Fair,Good,More energy,,,Feel happier,,No,,WIC,,,,,,Yes,,
2023-09-02 09:46:57,2023-09-02 09:50:46,73.162.79.101,,No,I already have walking routes,,,,,Yes,,3,1,2,2,Sometimes,,Agree,Agree,Feeling healthier,,,,,,,gift cards ,,Reminders/prompts to walk,,,Earning awards/medals in the app,,Fair,Fair,,,Feel less stressed,,,No,,WIC,,,,,,Yes,,no
2023-09-02 08:32:23,2023-09-02 08:38:57,73.231.98.16,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,2,1,3,3,Never,Too busy ,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,,,"Walking shoes, gift card sounds great ",,Reminders/prompts to walk,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Poor,Fair,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,Drinking more water ,,,,,"A friend, family member, or colleague",,Yes,,More opportunities to win raffle prizes 
2023-09-02 07:58:13,2023-09-02 08:09:56,107.115.29.121,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,1,2,1,2,Sometimes,,Agree,Agree,Feeling healthier,,,,,,,I think so.,,,,Quick facts about the health benefits of walking,,,Good,Good,,,,Feel happier,,No,,WIC,,,,,,Yes,,"It’s a great app, I hope many people enjoy it."
2023-09-02 00:26:54,2023-09-02 00:30:22,24.130.164.78,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,3,5,5,5,Sometimes,,Agree,Strongly agree,,Being a positive role model for my children/family/friends,A sense of accomplishment,,The chance to win prizes,,,Shoes for sure!,,Reminders/prompts to walk,,,Earning awards/medals in the app,,Good,Good,More energy,,,Feel happier,,Yes,Dairy free.,WIC,,,,,,Yes,,
2023-09-01 23:16:14,2023-09-01 23:20:04,71.198.152.10,,No,,,,"I use another method to find local parks, open spaces, and/or trails",,Yes,,5,5,5,5,Often,,Strongly agree,Strongly agree,,,,,The chance to win prizes,The friends and/or family who walked with me or on their own,,Giana was only reason,,,,,Earning awards/medals in the app,,Excellent,Excellent,,,,,,No,,,,,,"A friend, family member, or colleague",,No,I have seen how people shake their phone to get ahead and fool the system so I feel it is not reliable,
2023-09-01 22:25:31,2023-09-01 22:36:04,73.63.229.87,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,6,6,7,6,Sometimes,,Strongly agree,Agree,Feeling healthier,,,,,,,"Cap, digital watch, and gift card",,Reminders/prompts to walk,,,,,Good,Very good,,,,Feel happier,,Yes,Eat healthier and drink water ,WIC,,,,,,Yes,,No
2023-09-01 20:17:09,2023-09-01 20:22:32,166.198.38.5,,Yes,,,,,,Yes,,1,5,5,5,Sometimes,,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,,,,The chance to win prizes,The friends and/or family who walked with me or on their own,,Grocery Gift Card ,,Reminders/prompts to walk,Quick tips for easy ways to walk more,,,,Good,Fair,,Better sleep quaity,,Feel happier,,Yes,Exercise regularly ,WIC,,,,,,Yes,,Record data is not accurate 
2023-09-01 20:06:57,2023-09-01 20:07:17,172.58.89.211,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01 17:34:41,2023-09-01 17:42:42,172.56.168.48,,Yes,,,,,,Yes,,3,3,5,5,Sometimes,,Agree,Agree,,Being a positive role model for my children/family/friends,,,,,,Target,,,,Quick facts about the health benefits of walking,,,Good,Very good,,,,Feel happier,,No,,WIC,,,,,,Yes,,No 
2023-09-01 16:28:09,2023-09-01 16:32:43,172.58.89.240,,Yes,,,,,,No,I would forget to log it,5,3,0,5,Sometimes,,Agree,Agree,Feeling healthier,,A sense of accomplishment,Looking at my place on the Top Walkers feature,,,,Grocery gift card,,Reminders/prompts to walk,,,Earning awards/medals in the app,,Good,Good,More energy,,Feel less stressed,,,Yes,I did more outdoors activities and drinking more water,WIC,,,,,,Yes,,Nothing
2023-09-01 10:32:56,2023-09-01 15:57:24,172.58.89.59,,Yes,,,,,,Yes,,3,3,2,2,Sometimes,,Agree,Agree,Feeling healthier,,,,,,,Grocery,More ideas for where to walk in the app,,,,,,Good,Good,,Better sleep quaity,,,,Yes,My breath ,WIC,,,,,,Yes,,No everything is amazing 
2023-09-01 15:30:37,2023-09-01 15:34:04,172.56.208.216,,Yes,,,,,,Yes,,7,4,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,,,Looking at my place on the Top Walkers feature,The chance to win prizes,,,Grocery Gift Card,,,,Quick facts about the health benefits of walking,,,Excellent,Very good,More energy,,,,,Yes,Walking more often than usual ,,,,Info table at Rec and Park Zumba class,,,Yes,,
2023-09-01 15:24:51,2023-09-01 15:31:05,107.142.33.198,,Yes,,,,,,Yes,,4,2,5,4,Often,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,Gift card ,More ideas for where to walk in the app,,,,,,Very good,Good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,Concern the calories ,WIC,,,,,,Yes,,
2023-09-01 15:15:05,2023-09-01 15:20:22,104.28.123.178,,Yes,,,,,,Yes,,5,3,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,,,Gift cards and walking shoes,,Reminders/prompts to walk,,,Earning awards/medals in the app,,Good,Very good,More energy,,Feel less stressed,,,No,,WIC,,,,,,Yes,,No
2023-09-01 14:54:29,2023-09-01 14:59:04,107.115.33.31,,Yes,,,,,,Yes,,4,4,4,4,Sometimes,,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,,,,,The friends and/or family who walked with me or on their own,,A pair of walking shoes,,Reminders/prompts to walk,Quick tips for easy ways to walk more,,,,Good,Good,More energy,Better sleep quaity,,,,Yes,I have no idea,WIC,,,,,,Yes,,
2023-09-01 14:43:49,2023-09-01 14:51:51,67.169.112.171,,Yes,,,,,,Yes,,5,2,5,5,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,The friends and/or family who walked with me or on their own,,Grocery gift card,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,,,,Excellent,Very good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,sicesrecxeeroM,WIC,Rec and Park flyer or newsletter,Info table at Heart of the City Farmers' Market,Info table at Rec and Park Zumba class,"A friend, family member, or colleague",,Yes,,oN
2023-09-01 14:37:34,2023-09-01 14:40:36,172.58.89.248,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,2,4,7,6,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,The friends and/or family who walked with me or on their own,,Gift cards and shoes ,,Reminders/prompts to walk,,,Earning awards/medals in the app,,Fair,Very good,,,,Feel happier,,Yes,Stopped smoking ,WIC,,,,,,Yes,,
2023-09-01 13:42:22,2023-09-01 13:47:40,166.198.38.6,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,2,4,4,4,Sometimes,,Agree,Strongly agree,Feeling healthier,,A sense of accomplishment,,,,,Walking shoes,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,,,Good,Good,,Better sleep quaity,Feel less stressed,,,Yes,Walk more rather than take a bus or elevator ,WIC,,,,,,Yes,,
2023-09-01 13:13:06,2023-09-01 13:17:05,174.249.151.137,,Yes,,,,,,Yes,,4,5,6,5,Often,,Strongly agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,"Grocery gift card, walking shoes, exercise equipment,  merchandise ",,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Very good,Excellent,,Better sleep quaity,,,,Yes,"Drinking more water, eating frequently ",WIC,,,,,,Yes,,More rewards for all participants not just winners.
2023-09-01 13:08:26,2023-09-01 13:13:18,73.202.50.93,,No,I already have walking routes,,,,,Yes,,5,0,3,5,Sometimes,,Neither agree nor disagree,Neither agree nor disagree,,,,,The chance to win prizes,,,,,,,,Earning awards/medals in the app,,Excellent,Excellent,,Better sleep quaity,,,,No,,WIC,,,,,,Yes,,Non
2023-09-01 13:09:34,2023-09-01 13:12:11,174.195.86.208,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,7,2,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,Gift. Card ,More ideas for where to walk in the app,,,,,,Excellent,Excellent,More energy,,,,,Yes,"Walking , exercising ",WIC,,,,,,Yes,,All good 
2023-09-01 12:15:24,2023-09-01 12:18:22,172.58.88.1,,Yes,,,,,,Yes,,5,7,7,5,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,,,"Gift cards,  shoes",,Reminders/prompts to walk,,,,,Good,Very good,More energy,Better sleep quaity,Feel less stressed,,,Yes,Eating healthier,WIC,,,,,,Yes,,
2023-09-01 12:01:44,2023-09-01 12:06:29,172.58.89.137,,Yes,,,,,,Yes,,5,5,5,5,Sometimes,,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,Being a positive role model for my children/family/friends,,,,,,Anything will help ,,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,,Good,Very good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,"Food change time frame change of walking and more walking then riding a bud or car, etc",WIC,,,,,,Yes,,
2023-09-01 11:54:36,2023-09-01 12:04:43,172.58.88.173,,No,,,,,I didn't go for walks in the park ,No,I didn't had time other than my usual errands and grocery shopping. ,1,0,0,1,Often,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,,,"Grocery store, department store or Visa/Master gift cards. ",,,,,Earning awards/medals in the app,,Poor,Poor,,,,,Same,Yes,To move more and try to reach my daily step goal ,WIC,,,,,,Yes,,"If I forget to go in the app to refresh it before the day is over, my steps won't get counted and I will get 0 steps for the day. So I have to set a reminder to go in the app every night to update it so my steps gets recorded.  Not sure if it's my Samsung Galaxy phone or the apps aren't linking correctly."
2023-09-01 11:54:26,2023-09-01 12:02:27,174.238.10.157,,Yes,,,,,,No,Didn’t have time ,7,3,4,7,Never,Forgot ,Agree,Agree,,Being a positive role model for my children/family/friends,,,,,,Grocery gift cards ,,Reminders/prompts to walk,,,,,Excellent,Good,,,Feel less stressed,,,Yes,Eating better ,WIC,,,,,,Yes,,No
2023-09-01 11:33:29,2023-09-01 11:36:22,104.28.85.93,,Yes,,,,,,Yes,,7,4,7,7,Never,Not interested ,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,Being a positive role model for my children/family/friends,,,,The friends and/or family who walked with me or on their own,,All,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,,Earning awards/medals in the app,,Good,Good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,No,,WIC,,,,,,Yes,,
2023-09-01 11:31:12,2023-09-01 11:32:36,76.133.42.168,,Yes,,,,,,Yes,,2,2,3,1,Sometimes,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,Gift card,More ideas for where to walk in the app,,,,,,Very good,Very good,,Better sleep quaity,,,,Yes,Walk more ,WIC,,,,,,Yes,,No
2023-09-01 11:20:35,2023-09-01 11:27:06,172.58.88.16,,Yes,,,,,,Yes,,7,7,7,7,Never,I’m use to walking so it didn’t matter to me who walk more ,Neither agree nor disagree,Neither agree nor disagree,,Being a positive role model for my children/family/friends,,,,The friends and/or family who walked with me or on their own,,Nothing I walk everywhere I go ,,,,,,I walk just to walk and be outside ,Good,Good,,,Feel less stressed,,,No,,WIC,,,,,My daughter school,Yes,,No 
2023-09-01 11:05:40,2023-09-01 11:09:43,172.59.128.3,,No,I already have walking routes,,,,,Yes,,5,3,5,5,Sometimes,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,Pair of walking shoes,,,,,,Like how many calories you burned per day ,Very good,Excellent,,Better sleep quaity,,,,Yes,Loss weight ,WIC,,,,,,Yes,,
2023-09-01 11:02:03,2023-09-01 11:05:16,73.71.40.220,,Yes,,,,,,Yes,,4,5,5,5,Sometimes,Forgot about it,Strongly agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,,,A pair of walking shoes ,,Reminders/prompts to walk,Quick tips for easy ways to walk more,,Earning awards/medals in the app,,Good,Good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,Walking more outdoor on sunny days ,WIC,,,,,,Yes,,
2023-09-01 10:53:36,2023-09-01 11:02:31,172.58.89.24,,No,,,,,I just want to see how much I already walk.,Yes,,3,1,0,3,Never,Phone broke ,Neither agree nor disagree,Neither agree nor disagree,,Being a positive role model for my children/family/friends,,,,,,Just the giants tickets ,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Fair,Fair,,,,,Growing more brain cells ,No,,WIC,,,,,,Yes,,Nope.
2023-09-01 10:34:05,2023-09-01 11:00:16,172.58.88.9,,Yes,,,,,,Yes,,5,5,5,5,Sometimes,,Agree,Strongly agree,,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,Next,Net,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,Ney,Excellent,Excellent,More energy,,,,,Yes,Yes,WIC,,,,,,Yes,,Yes
2023-09-01 10:50:45,2023-09-01 10:58:26,73.158.173.3,,Yes,,,,,,Yes,,1,3,3,3,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,,,Gift card,,,,Quick facts about the health benefits of walking,,,Good,Very good,More energy,,,Feel happier,,Yes,"Well balanced food , try best to exercise when got time",WIC,,,,,,Yes,,No
2023-09-01 10:44:55,2023-09-01 10:54:19,95.19.58.22,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,7,2,7,7,Sometimes,,Agree,Agree,Feeling healthier,,,,The chance to win prizes,The friends and/or family who walked with me or on their own,,Exercise equipment ,,,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Very good,Good,,,,,Weight loose ,Yes,Healthy food and exercise every day ,WIC,,,,,,Yes,,Motivational phases 
2023-09-01 10:49:19,2023-09-01 10:52:07,174.194.192.77,,Yes,,,,,,Yes,,4,4,5,5,Often,,Strongly agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,"Walking shoes, Hokas ",,Reminders/prompts to walk,Quick tips for easy ways to walk more,,,,Good,Very good,More energy,,Feel less stressed,Feel happier,,Yes,Eating more vegetables ,WIC,,,,,,Yes,,No 
2023-09-01 10:45:40,2023-09-01 10:48:58,107.116.93.35,,Yes,,,,,,Yes,,2,2,3,2,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,Grocery gift card ,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Very good,Very good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,Walking ,WIC,Rec and Park flyer or newsletter,,,,,Yes,,
2023-09-01 10:32:26,2023-09-01 10:48:47,172.58.89.67,,Yes,,,,,,Yes,,3,1,4,3,Sometimes,,Strongly agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,,Looking at my place on the Top Walkers feature,,,,A pair of walking shoes exercise equipment ,More ideas for where to walk in the app,,,,,,Excellent,Excellent,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,walk better and feel better,WIC,,,,,,Yes,,
2023-09-01 10:35:47,2023-09-01 10:45:01,172.58.89.0,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,3,4,2,5,Often,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,"Cash, gift cards, spa day",,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,Healthier eating habits,WIC,,,,,,Yes,,Having 20 winners
2023-09-01 10:37:01,2023-09-01 10:44:51,107.116.89.135,,Yes,,,,,,Yes,,0,4,2,5,Never,I would forget because I always checked my health app,Agree,Neither agree nor disagree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,The friends and/or family who walked with me or on their own,,Events for my children and i,,Reminders/prompts to walk,,,Earning awards/medals in the app,,Poor,Fair,,Better sleep quaity,Feel less stressed,,,Yes,Change eating habits,WIC,,,,,,Yes,,More notifications 
2023-09-01 10:31:09,2023-09-01 10:38:56,66.7.225.130,,Yes,,,,,,Yes,,6,3,6,6,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,The friends and/or family who walked with me or on their own,,exercise equipment,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,,,Fair,Good,,Better sleep quaity,Feel less stressed,,,Yes,keep walking,WIC,,,,,,Yes,,nope
2023-09-01 10:34:24,2023-09-01 10:36:39,172.58.88.105,,Yes,,,,,,Yes,,5,5,5,5,Never,Didn’t think to lokk,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,The chance to win prizes,,,Gift cards,,Reminders/prompts to walk,,,,,Fair,Fair,More energy,,Feel less stressed,Feel happier,,No,,WIC,,,,,,Yes,,
2023-09-01 10:33:23,2023-09-01 10:36:32,75.238.121.103,,Yes,,,,,,Yes,,0,2,1,1,Sometimes,,Strongly agree,Strongly agree,,,,,The chance to win prizes,,,Money ,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Fair,Fair,,,,,None ,Yes,I walk more ,WIC,,,,,,Yes,,
2023-09-01 10:28:13,2023-09-01 10:36:16,98.234.115.161,,Yes,,,,,,Yes,,2,4,7,7,Sometimes,,Agree,Strongly agree,Feeling healthier,,,,,,,"Grocery gift, a pair of walking shoes ",More ideas for where to walk in the app,,,,,,Excellent,Excellent,More energy,,,,,Yes,definitely walk,WIC,,,,,,Yes,,Nothing 
2023-09-01 10:30:51,2023-09-01 10:35:57,172.58.89.239,,Yes,,,,,,No,Porque no lo había tomado en cuenta,7,5,7,7,Often,,Agree,Neither agree nor disagree,,,,,The chance to win prizes,,,Grocery gift card,More ideas for where to walk in the app,,,,,,Good,Very good,,,,Feel happier,,No,,WIC,,,,,,Yes,,La contabilizacion de los pasos..
2023-09-01 10:30:32,2023-09-01 10:35:16,172.58.88.179,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,3,1,0,3,Sometimes,,Strongly agree,Strongly agree,,,,Looking at my place on the Top Walkers feature,The chance to win prizes,,,"Gift cards, smart watch, and exercise equipment ",,Reminders/prompts to walk,,,Earning awards/medals in the app,,Good,Good,,,Feel less stressed,Feel happier,,No,,WIC,,,,,,Yes,,If I was able to link my smart watch then it would be better because sometimes I don't have my phone physically on me.
2023-09-01 10:30:10,2023-09-01 10:33:05,172.58.88.10,,Yes,,,,,,Yes,,4,4,5,4,Often,,Strongly agree,Strongly agree,,,A sense of accomplishment,,,,,Warrior Tickets or Gift Cards ,,Reminders/prompts to walk,,,,,Good,Very good,More energy,Better sleep quaity,Feel less stressed,,,Yes,Eating cleaner and greener ,WIC,,,,,,Yes,,No
2023-09-15 07:47:25,2023-09-15 07:52:56,98.207.235.109,,Yes,,,,,,Yes,,1,6,6,7,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,,,A pair of sports shoes,,Reminders/prompts to walk,,,,,Good,Very good,,Better sleep quaity,,,,Yes,Fall in love with jogging,,Rec and Park 傳單或時事通訊,Info table at Heart of the City Farmers' Market,,,,Yes,,It would be nice if the program could have a real-time reminder function.
2023-09-08 20:36:02,2023-09-08 20:38:19,135.180.74.11,,Yes,,,,,,Yes,,1,1,1,1,Sometimes,,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08 20:15:05,2023-09-08 20:18:35,166.198.38.25,,Yes,,,,,,Yes,,5,6,7,7,Often,,Agree,Strongly agree,,Being a positive role model for my children/family/friends,,,,,,礼品卡,More ideas for where to walk in the app,,,,,,Very good,Very good,,,Feel less stressed,,,Yes,跑步,WIC,,,,,,Yes,,没有
2023-09-08 18:47:23,2023-09-08 18:49:48,135.180.238.93,,Yes,,,,,,Yes,,5,5,5,5,Often,,Agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,运动,More ideas for where to walk in the app,Reminders/prompts to walk,有關增加步行次數的小貼士,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Excellent,Excellent,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,和家里小朋友喜欢去走动,WIC,,,,,,Yes,,
2023-09-08 12:19:23,2023-09-08 12:20:13,107.115.33.44,,Yes,,,,,,Yes,,1,2,2,2,Sometimes,,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08 10:53:13,2023-09-08 11:05:59,107.116.93.75,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,"I use another method to find local parks, open spaces, and/or trails",,Yes,,7,2,7,7,Sometimes,,Neither agree nor disagree,Agree,,,,,The chance to win prizes,,,Gift card ,More ideas for where to walk in the app,Reminders/prompts to walk,,,,,Good,Good,More energy,,,,,No,,WIC,,,,,,Yes,,
2023-09-08 10:46:52,2023-09-08 10:51:13,174.195.68.79,,Yes,,,,,,Yes,,1,3,2,2,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,,,一双运动鞋,,Reminders/prompts to walk,,,,,Very good,Excellent,,Better sleep quaity,,,,Yes,饮食和做运动,WIC,,,,,,Yes,,有更好的
2023-09-08 10:44:43,2023-09-08 10:50:44,73.63.229.87,,Yes,,,,,,Yes,,7,7,7,7,Often,,Agree,Strongly agree,Feeling healthier,,,,,,,礼物,More ideas for where to walk in the app,,,,,,Excellent,Excellent,More energy,,,,,Yes,睡眠好了,WIC,,,,,,Yes,,没有
2023-09-07 00:28:22,2023-09-07 00:34:54,76.102.22.105,,No,I already have walking routes,,,,,Yes,,2,1,4,4,Sometimes,,Agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,,,The chance to win prizes,The friends and/or family who walked with me or on their own,,Worries 门票,,Reminders/prompts to walk,,,,,Very good,Good,,,Feel less stressed,Feel happier,,Yes,步行散步的时间长了,WIC,,,,,,Yes,,No
2023-09-01 14:07:44,2023-09-01 14:12:11,135.180.110.112,,No,,"I am already familiar with local parks, open spaces, and/or trails",I did not see this feature in the app,"I use another method to find local parks, open spaces, and/or trails",,Yes,,1,1,1,2,Sometimes,,Neither agree nor disagree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,,,Gift card，健身器材,,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,,Fair,Poor,More energy,Better sleep quaity,,Feel happier,,Yes,做瑜伽,WIC,,,,,,Yes,,无
2023-09-01 13:36:21,2023-09-01 13:40:02,73.70.33.223,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,5,7,7,7,Sometimes,,Agree,Strongly agree,Feeling healthier,,A sense of accomplishment,Looking at my place on the Top Walkers feature,,,,礼品卡,,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,,Fair,Very good,,Better sleep quaity,Feel less stressed,Feel happier,,Yes,继续努力多运动。,,,,,"A friend, family member, or colleague",,Yes,,
2023-09-01 13:28:45,2023-09-01 13:35:17,73.70.33.223,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,2,5,5,5,Often,,Agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,,The friends and/or family who walked with me or on their own,,礼品卡,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,,,Fair,Good,,,,Feel happier,,Yes,每天多做运动。,WIC,,,,,,Yes,,
2023-09-01 11:59:45,2023-09-01 12:07:08,108.211.181.32,,Yes,,,,,,Yes,,7,7,7,7,Often,,Agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,The friends and/or family who walked with me or on their own,,雜貨店禮品卡,,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,,Very good,Very good,,,Feel less stressed,Feel happier,,Yes,每天保持运动的习惯,WIC,,,,,,Yes,,应用程序中如果每天有昨天步行数据的信息提醒，可以另参与者更加有动力挑战更高记录，保持每天运动的习惯之余，还可以挑战自己更高的极限
2023-09-01 11:45:18,2023-09-01 11:49:12,107.115.29.82,,Yes,,,,,,Yes,,5,3,6,6,Sometimes,,Agree,Strongly agree,,,A sense of accomplishment,,,,,Gift card ,,Reminders/prompts to walk,,,,,Very good,Very good,,,,Feel happier,,Yes,Walking ,,,,,"A friend, family member, or colleague",,Yes,,No
