Start Date,End Date,IP Address,Respondent ID,"Did you use the Where to Walk feature in the app to find a local park, open space, or trail?",Why not? (Select all that apply), , .1, .2, .3,"Did you walk at a local park, open space, or trail during the Intentional Walk program?",Why not?,"Before the program, how many days a week did you walk for exercise?","On average, how many days a week during the program did friends and/or family walk with you?","During the last week of the program, how many days a week did you walk for exercise?","Now that the program is over, how many days a week do you plan to continue walking for exercise?",How often did you look at the Top Walkers feature in the app?,Why not?.1,The Top Walkers feature was easy to use,I liked being able to see my place among all walkers on the Top Walkers feature ,"Throughout the program, what were your top motivators to keep walking? (Select all that apply)", .4, .5, .6, .7, .8, .9,"Besides SF Giants tickets, what other prizes would motivate you to keep walking during the program? (e.g. grocery gift card, a pair of walking shoes, exercise equipment, etc.)",Which of the following options would make you walk more during the program? (Select all that apply), .10, .11, .12, .13, .14,How would you rate your health before starting the Intentional Walk Program on 6/1?,How would you rate your health now?,Did you experience any of these while participating in the program? (Select all that apply) , .15, .16, .17, .18,Did participating in the program lead to you making any other healthy lifestyle changes?,What healthy lifestyle changes did you make?,How did you find out about the Intentional Walk program? (select all that apply), .19, .20, .21, .22, .23,Would you participate in this program again?,Why not?.2,Is there anything you would change about the Intentional Walk app?
2023-09-14 09:30:22,2023-09-14 09:33:51,75.84.255.104,,No,I already have walking routes,,,,,Yes,,7,2,6,7,Often,,Strongly agree,Strongly agree,Feeling healthier,,A sense of accomplishment,Looking at my place on the Top Walkers feature,,,,Grocery gift card or FITBIT! :D,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Good,,,Feel less stressed,,,Yes,To make sure that I walked often over the weekends! :D,,Rec and Park flyer or newsletter,,,,,Yes,,"Yes! Seeing the topwalkers was great, but I wish there was a way to comment to encourage the others who are participating too! :D"
2023-09-08 18:42:07,2023-09-14 09:11:17,71.145.209.249,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,7,5,7,7,Sometimes,,Disagree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,The friends and/or family who walked with me or on their own,,Apple devices ,,,,,,Nothing ,Good,Good,,,Feel less stressed,,,No,,,,,,,,,,
2023-09-14 08:41:35,2023-09-14 09:06:09,174.160.226.166,,Yes,,,,,,Yes,,7,7,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,,,The chance to win prizes,The friends and/or family who walked with me or on their own,,"grocery gift card,  children’s products, children’s plaything ，car accessories,",More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,,Very good,Very good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,"字母less oil and less salt and less  sugar, take exercise ",WIC,Rec and Park flyer or newsletter,Info table at Heart of the City Farmers' Market,Info table at Rec and Park Zumba class,"A friend, family member, or colleague",,Yes,,
2023-09-14 08:29:25,2023-09-14 08:31:18,166.198.34.59,,No,,"I am already familiar with local parks, open spaces, and/or trails",,"I use another method to find local parks, open spaces, and/or trails",,Yes,,3,7,5,5,Never,Idk ,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14 08:17:17,2023-09-14 08:21:03,104.9.123.218,,Yes,,,,,,Yes,,4,7,4,5,Often,,Agree,Agree,Feeling healthier,,,,,,,Grocery gift card ,,Reminders/prompts to walk,,,,,Excellent,Excellent,,Better sleep quaity,,,,Yes,Good sleep ,,,,,"A friend, family member, or colleague",,Yes,,Everything is good 
2023-09-13 11:23:19,2023-09-13 11:26:25,172.58.88.112,,Yes,,,,,,Yes,,7,7,7,6,Never,Súper ,Strongly disagree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,Súper ,Bien ,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,Super,Excellent,Excellent,More energy,,,,,Yes,Súper ,WIC,Rec and Park flyer or newsletter,Info table at Heart of the City Farmers' Market,Info table at Rec and Park Zumba class,"A friend, family member, or colleague",,Yes,,
2023-09-12 22:46:33,2023-09-12 22:49:48,24.5.81.207,,Yes,,,,,,Yes,,4,4,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 08:36:14,2023-09-12 08:44:09,73.189.218.129,,Yes,,,,,,No,O,4,5,2,4,Sometimes,,Neither agree nor disagree,Neither agree nor disagree,,,,,,The friends and/or family who walked with me or on their own,,O,More ideas for where to walk in the app,,,,,,Excellent,Good,More energy,,,,,Yes,O,WIC,,,,,,Yes,,
2023-09-09 23:21:02,2023-09-09 23:29:26,136.24.42.50,,No,,,,,I used it specifically just to track my steps and forgot it had that option.,Yes,,2,7,3,7,Often,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,The chance to win prizes,The friends and/or family who walked with me or on their own,,"Movie tickets, exercise gear , hats",,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Very good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,"Eat less sweets, stretch more, sprinting, speed walking.",WIC,,,,,,Yes,,Continue to have it available even if there is no prizes 
2023-09-09 09:38:09,2023-09-09 09:41:12,73.189.58.177,,Yes,,,,,,Yes,,3,7,2,3,Often,,Strongly agree,Strongly agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,,,Grocery food card ,,,,Quick facts about the health benefits of walking,,,Good,Very good,More energy,,,,,Yes,More exercise and more veggies ,WIC,,,,,,Yes,,
